Ta,,,,,,,,,,,
ble 7,,,s,rachidonic,Eicosa,Docosa,Docosa Tot,al Saturated,Total Mono Unsaturated,Total Poly Unsaturated,
. Fatty,edoC,,noige,(C20:4n6),pentaenoic (C20:5n3),pentaenoic (C22:5n3),hexaenoic F (C22:6n3),atty Acids (TSFA),Fatty Acids (TMUFA),Fatty Acids (TPUFA),Cholestero
Acid,doo,Fish Name,R fo,,,,,,,,
P,F,,.o,,,,mg,,,,
ro,,,N,,,,,,,,
fi,,,,,,,,,,,
le,,,,F20D4N6,F20D5N3,F22D5N3,F22D6N3,FASAT,FAMS,FAPU,CHOLC
,,,,,,,,,,,
,P,MRINE FISH,,,,,,,,,
,,,,,,,,,,,
,P001,Allathi (Elops machnata),1,30.50,54.35,21.54,141,346,165,261,13.98
,,,,,,,,,,,
,P002,Aluva(Parastromateus niger),3,90.30±10.41,77.61±41.72,70.40±22.65,226±72.7,755±224,288±105,490±150,21.97±11.26
,,,,,,,,,,,
,P003,Anchovy (Stolephorus indicus),2,26.26,60.00,10.15,187,248,50.36,290,29.56
,,,,,,,,,,,
,P004,Ari fish (Aprion virescens ),1,58.12,18.53,21.75,194,408,166,319,15.99
,,,,,,,,,,,
,P005,Betki (Lates calcarifer),1,20.38,5.74,,14.76,86.40,53.27,57.36,18.99
,,,,,,,,,,,
,P006,Black snapper(Macolor niger),1,49.55,41.48,,165,470,251,293,30.45
,,,,,,,,,,,
,P007,Bombay duck (Harpadon nehereus),2,43.72,61.27,,137,398,171,252,46.43
,,,,,,,,,,,
2,,,,,,,,,,,
40,P008,Bommuralu (Muraenesox cinerius),3,79.66±9.02,116±17.6,128±46.4,214±12.8,1238±199,701±122,594±60.4,44.68±33.13
,,,,,,,,,,,
,P009,Cat fish (Tachysurus thalassinus),1,133,75.24,61.60,320,792,430,619,18.36
,,,,,,,,,,,
,P010,Chakla (Rachycentron canadum),5,74.42±33.79,76.10±81.26,39.35±26.20,204±116,654±435,352±231,422±267,30.39±18.24
,,,,,,,,,,,
,P011,Chappal (Aluterus monoceros ),1,36.64,16.28,8.92,129,199,74.51,208,10.84
,,,,,,,,,,,
,P012,Chelu (Elagatis bipinnulata),2,19.95,20.13,8.79,118,229,104,179,22.64
,,,,,,,,,,,
,P013,Chembali (Lutjanus quinquelineatus),1,59.85,99.82,49.26,209,700,369,440,10.86
,,,,,,,,,,,
,P014,Eri meen (Pristipomoides filamentosus),1,88.36,95.68,53.02,387,739,340,666,13.17
,,,,,,,,,,,
,P015,Gobro (Epinephelus diacanthus),2,41.11,30.09,28.02,138,289,138,251,21.38
,,,,,,,,,,,
,P016,Guitar fish (Rhinobatus prahli),1,30.26,11.92,5.69,86.04,114,36.87,143,10.48
,,,,,,,,,,,
,P017,Hilsa (Tenualosa ilisha),2,146,925,,232,9286,6021,1801,82.42
,,,,,,,,,,,
,P018,Jallal (Arius sp.),1,64.74,69.13,42.00,184,519,311,389,19.26
,,,,,,,,,,,
,P019,Jathi vela meen (Lethrinus lentjan),2,41.76,35.89,27.75,166,837,519,294,19.98
,,,,,,,,,,,
,P020,Kadal bral (Synodus indicus),1,42.90,95.53,34.93,244,478,192,436,26.09
